craft_type,region,data_points,train_points,test_points,effective_test_points,arima_metrics,prophet_metrics,hybrid_metrics,arima_improvement,prophet_improvement,hybrid_improvement,arima_params,prophet_regressors,bias_correction,final_weights,adaptive_window,start_date,end_date,date_range_years
Stone_carving,Rajasthan,1566,1252,314,300,"{'mae': 6.873485307747425, 'rmse': np.float64(8.631683602377214), 'mape': np.float64(7.85522305539058), 'r2': -0.005174256442574965, 'accuracy': np.float64(92.14477694460942)}","{'mae': 7.506580956986688, 'rmse': np.float64(9.03175972105093), 'mape': np.float64(8.381453606621484), 'r2': -0.10051275963864237, 'accuracy': np.float64(91.61854639337852)}","{'mae': 3.8287978701567535, 'rmse': np.float64(4.978968026181004), 'mape': np.float64(4.289206764419897), 'r2': 0.6655516894021815, 'accuracy': np.float64(95.7107932355801)}",3.56601629097068,4.092246842201575,3.56601629097068,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4812206306781467), 'Enhanced_Prophet': np.float64(0.5187793693218533)}",14,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Sikkim,1566,1252,314,300,"{'mae': 7.780279814253393, 'rmse': np.float64(8.706742765646133), 'mape': np.float64(8.464171276395966), 'r2': -0.16788929287973708, 'accuracy': np.float64(91.53582872360403)}","{'mae': 7.022875109373627, 'rmse': np.float64(8.358475198371927), 'mape': np.float64(7.713585530605585), 'r2': -0.076327324319996, 'accuracy': np.float64(92.28641446939442)}","{'mae': 3.6613641119104985, 'rmse': np.float64(4.7073758854547165), 'mape': np.float64(4.064032520824828), 'r2': 0.6586121929301034, 'accuracy': np.float64(95.93596747917518)}",4.400138755571149,3.6495530097807602,3.6495530097807602,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4748487474365911), 'Enhanced_Prophet': np.float64(0.5251512525634089)}",14,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Tamil_Nadu,1566,1252,314,303,"{'mae': 5.86546007480657, 'rmse': np.float64(7.325201286344342), 'mape': np.float64(6.521248247131001), 'r2': -0.007821020772910359, 'accuracy': np.float64(93.478751752869)}","{'mae': 6.956994103425238, 'rmse': np.float64(8.344419633320285), 'mape': np.float64(7.495576336576624), 'r2': -0.30778562385182395, 'accuracy': np.float64(92.50442366342338)}","{'mae': 2.938882590831307, 'rmse': np.float64(4.111775461288885), 'mape': np.float64(3.2435683421875603), 'r2': 0.6824566170480068, 'accuracy': np.float64(96.75643165781244)}",3.27767990494344,4.252007994389061,3.27767990494344,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4626342075707377), 'Enhanced_Prophet': np.float64(0.5373657924292623)}",11,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Telangana,1566,1252,314,300,"{'mae': 7.747295917081704, 'rmse': np.float64(8.838470178625748), 'mape': np.float64(8.56316133686304), 'r2': -0.08136287323821922, 'accuracy': np.float64(91.43683866313697)}","{'mae': 7.086020442859889, 'rmse': np.float64(8.39500673158775), 'mape': np.float64(7.843189865224436), 'r2': 0.024427947858616572, 'accuracy': np.float64(92.15681013477557)}","{'mae': 4.11379451775831, 'rmse': np.float64(5.28107316540089), 'mape': np.float64(4.636072107999618), 'r2': 0.6139339416306471, 'accuracy': np.float64(95.36392789200038)}",3.9270892288634087,3.2071177572248075,3.2071177572248075,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4576872576222868), 'Enhanced_Prophet': np.float64(0.5423127423777133)}",14,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Tripura,1566,1252,314,303,"{'mae': 7.9666021127214535, 'rmse': np.float64(9.657757509773601), 'mape': np.float64(9.29667629576242), 'r2': -0.0033332722479126886, 'accuracy': np.float64(90.70332370423758)}","{'mae': 8.619768175813187, 'rmse': np.float64(10.45642797301757), 'mape': np.float64(9.914233241226814), 'r2': -0.17614081508708135, 'accuracy': np.float64(90.08576675877319)}","{'mae': 4.171616252385197, 'rmse': np.float64(5.413549848282384), 'mape': np.float64(4.759303143966524), 'r2': 0.6847486891164246, 'accuracy': np.float64(95.24069685603348)}",4.537373151795904,5.154930097260291,4.537373151795904,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4745550196010007), 'Enhanced_Prophet': np.float64(0.5254449803989993)}",11,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Uttar_Pradesh,1566,1252,314,300,"{'mae': 6.913522547824338, 'rmse': np.float64(8.514746564366918), 'mape': np.float64(7.859477578022581), 'r2': -0.003887930739192358, 'accuracy': np.float64(92.14052242197742)}","{'mae': 7.287437289978406, 'rmse': np.float64(8.618983480658034), 'mape': np.float64(8.033331846841039), 'r2': -0.028617426197014906, 'accuracy': np.float64(91.96666815315896)}","{'mae': 3.756745407538224, 'rmse': np.float64(4.973975761098509), 'mape': np.float64(4.224316586490939), 'r2': 0.6574301716650539, 'accuracy': np.float64(95.77568341350906)}",3.6351609915316345,3.809015260350094,3.6351609915316345,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.47733861375343856), 'Enhanced_Prophet': np.float64(0.5226613862465614)}",14,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Uttarakhand,1566,1252,314,300,"{'mae': 7.3512278519458505, 'rmse': np.float64(8.394607035714497), 'mape': np.float64(8.148502276394925), 'r2': -0.03697592511012915, 'accuracy': np.float64(91.85149772360508)}","{'mae': 7.728230987420062, 'rmse': np.float64(9.388356041499877), 'mape': np.float64(8.56088114891451), 'r2': -0.29702107954040224, 'accuracy': np.float64(91.4391188510855)}","{'mae': 4.0617316759939825, 'rmse': np.float64(5.325005609574317), 'mape': np.float64(4.541971994188681), 'r2': 0.5827387343601615, 'accuracy': np.float64(95.45802800581131)}",3.6065302822062364,4.018909154725819,3.6065302822062364,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.48130928692810426), 'Enhanced_Prophet': np.float64(0.5186907130718957)}",14,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,West_Bengal,1566,1252,314,300,"{'mae': 5.7670794838900425, 'rmse': np.float64(6.951448570485775), 'mape': np.float64(6.3531919422232175), 'r2': -0.0024556034066567367, 'accuracy': np.float64(93.64680805777678)}","{'mae': 6.723806671972839, 'rmse': np.float64(8.086407046543627), 'mape': np.float64(7.188648736415897), 'r2': -0.356518487762987, 'accuracy': np.float64(92.8113512635841)}","{'mae': 2.9324292955943227, 'rmse': np.float64(3.9738047576692273), 'mape': np.float64(3.2158773656888338), 'r2': 0.6724123123525458, 'accuracy': np.float64(96.78412263431116)}",3.1373145765343793,3.9727713707270595,3.1373145765343793,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4690551583909202), 'Enhanced_Prophet': np.float64(0.5309448416090797)}",14,1995-01-01,2024-12-29,29.99315537303217
Terracotta,Andhra_Pradesh,1566,1252,314,303,"{'mae': 7.8558751401896165, 'rmse': np.float64(8.85249591697669), 'mape': np.float64(8.658679121832643), 'r2': -0.09477762553402513, 'accuracy': np.float64(91.34132087816735)}","{'mae': 7.674033238678643, 'rmse': np.float64(9.050580252072596), 'mape': np.float64(8.423743390806958), 'r2': -0.14431947713936633, 'accuracy': np.float64(91.57625660919304)}","{'mae': 4.185345029652273, 'rmse': np.float64(5.408011026563185), 'mape': np.float64(4.7073357668513145), 'r2': 0.5914270789302949, 'accuracy': np.float64(95.29266423314868)}",3.951343354981333,3.7164076239556465,3.7164076239556465,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4927120292489678), 'Enhanced_Prophet': np.float64(0.5072879707510322)}",11,1995-01-01,2024-12-29,29.99315537303217
Terracotta,Arunachal_Pradesh,1566,1252,314,303,"{'mae': 7.550898288420592, 'rmse': np.float64(8.886321387487051), 'mape': np.float64(8.545551173167079), 'r2': -0.012015231702700913, 'accuracy': np.float64(91.45444882683292)}","{'mae': 6.898053901752226, 'rmse': np.float64(8.449314083983637), 'mape': np.float64(7.62480912318158), 'r2': 0.08507409251255071, 'accuracy': np.float64(92.37519087681842)}","{'mae': 4.156337503417376, 'rmse': np.float64(5.384481811104075), 'mape': np.float64(4.687249733046765), 'r2': 0.6284383820632792, 'accuracy': np.float64(95.31275026695323)}",3.8583014401203144,2.9375593901348083,2.9375593901348083,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.5043003093195368), 'Enhanced_Prophet': np.float64(0.49569969068046305)}",11,1995-01-01,2024-12-29,29.99315537303217
Terracotta,Assam,1566,1252,314,300,"{'mae': 8.084204362588205, 'rmse': np.float64(9.095930263187523), 'mape': np.float64(8.966668837951094), 'r2': -0.07668347745764925, 'accuracy': np.float64(91.03333116204891)}","{'mae': 7.343023271288903, 'rmse': np.float64(8.710754170820312), 'mape': np.float64(8.142375175975362), 'r2': 0.012572269668197689, 'accuracy': np.float64(91.85762482402464)}","{'mae': 4.132108794324272, 'rmse': np.float64(5.295952060848541), 'mape': np.float64(4.65781695132172), 'r2': 0.6350092192234515, 'accuracy': np.float64(95.34218304867828)}",4.30885188662937,3.4845582246536395,3.4845582246536395,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.5099409304348765), 'Enhanced_Prophet': np.float64(0.49005906956512346)}",14,1995-01-01,2024-12-29,29.99315537303217
Terracotta,Bihar,1566,1252,314,303,"{'mae': 8.635392099586397, 'rmse': np.float64(9.715651162362358), 'mape': np.float64(9.552210421519094), 'r2': -0.14055819158042304, 'accuracy': np.float64(90.44778957848091)}","{'mae': 7.487737967381102, 'rmse': np.float64(9.062644292084606), 'mape': np.float64(8.427170774701946), 'r2': 0.007607461626827461, 'accuracy': np.float64(91.57282922529805)}","{'mae': 4.3064650645971865, 'rmse': np.float64(5.477508987835856), 'mape': np.float64(4.87581154455209), 'r2': 0.6374734489664785, 'accuracy': np.float64(95.12418845544791)}",4.676398876966999,3.551359230149856,3.551359230149856,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.5147585132725322), 'Enhanced_Prophet': np.float64(0.48524148672746786)}",11,1995-01-01,2024-12-29,29.99315537303217
